Place or organization,Province/territory,Region,Corporation,Reporting level,Indicator,Time scale,Time frame,Level 1 breakdown,Level 1 breakdown value,Level 2 breakdown,Level 2 breakdown value,Level 3 breakdown,Level 3 breakdown value,Risk-adjusted rate,Unit of measure,Confidence interval lower limit,Confidence interval upper limit,Numerator,Statistically different,Performance comparison,Performance trend,Top results,Denominator,Expected,Urban or rural/remote,Hospital peer group,Long-Term Care Facility Size,Trend note,Refresh date
Inverness Consolidated Memorial Hospital (N.S.),Nova Scotia,Eastern Zone (N.S.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,8.68,13.48,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Kamsack Hospital and Nursing Home (Sask.),Saskatchewan,South East Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,7.52,15.17,-,No,,,,-,-,Rural/remote,Community—Small,Medium,-,"October 14, 2025"
Ksyen Regional Hospital (B.C.),British Columbia,Northern Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,9.36,12.52,-,Yes,,,,-,-,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
Labrador Health Centre (N.L.),Newfoundland and Labrador,Labrador–Grenfell Zone (N.L.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,8.97,13.20,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Lacombe Hospital and Care Centre (Alta.),Alberta,Central Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,8.51,13.70,-,No,,,,-,-,Urban,Community—Small,Not applicable,-,"October 14, 2025"
Lakeshore Health Centre (Man.),Manitoba,Interlake–Eastern Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,8.00,14.48,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
North Wellington Health Care Corporation (Ont.),Ontario,West Region (Ont.),North Wellington Health Care Corporation (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,8.92,13.13,-,No,,,,-,-,Not applicable,Community—Small,Not applicable,-,"October 14, 2025"
Parkland Integrated Health Centre (Sask.),Saskatchewan,North Central East Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,8.24,14.24,-,No,Same as average performance,No change,Not a top result,-,47.4,Rural/remote,Community—Small,Medium,"Data previously attributed to Parkland Terrace - Shellbrook (Sask.) and Shellbrook Hospital (Sask.) will now be attributed to Parkland Integrated Health Centre (Sask.) as of October 21, 2013. Please interpret trends with caution.","October 14, 2025"
Penticton Regional Hospital (B.C.),British Columbia,Interior Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,10.15,11.76,-,Yes,,,,-,-,Urban,Community—Large,Not applicable,-,"October 14, 2025"
Port McNeill and District Hospital (B.C.),British Columbia,Island Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,5.96,18.29,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Portage District General Hospital (Man.),Manitoba,Southern Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,9.39,12.68,-,Yes,,,,-,-,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
Prince Rupert Regional Hospital (B.C.),British Columbia,Northern Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,9.02,13.01,-,No,,,,-,-,Urban,Community—Small,Not applicable,-,"October 14, 2025"
Providence Health Care (B.C.),British Columbia,Vancouver Coastal Health (B.C.),Providence Health Care (B.C.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,10.46,11.42,-,Yes,,,,-,-,Not applicable,Teaching,Not applicable,-,"October 14, 2025"
Qikiqtani General Hospital (Nun.),Nunavut,-,-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,9.12,12.95,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Qikiqtani General Hospital (Nun.),Nunavut,-,-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,8.83,13.32,-,No,Same as average performance,No change,Not a top result,-,83.1,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Redwater Health Centre (Alta.),Alberta,North Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,6.45,17.21,-,No,,,,-,-,Urban,Community—Small,Not applicable,-,"October 14, 2025"
Renfrew Victoria Hospital (Ont.),Ontario,East Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,9.46,12.54,-,Yes,,,,-,-,Rural/remote,Community—Medium,Not applicable,-,"October 14, 2025"
Rosetown and District Health Centre (Sask.),Saskatchewan,South West Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,7.55,15.25,-,No,,,,-,-,Rural/remote,Community—Small,Medium,-,"October 14, 2025"
South Okanagan General Hospital (B.C.),British Columbia,Interior Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,8.63,13.51,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
St. Joseph’s Health Centre (Sask.),Saskatchewan,Far North Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,6.33,17.41,-,No,,,,-,-,Rural/remote,Community—Small,Small,-,"October 14, 2025"
Stonewall and District Health Centre (Man.),Manitoba,Interlake–Eastern Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,7.93,14.65,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Unity Health Toronto (Ont.),Ontario,Toronto Region (Ont.),Unity Health Toronto (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,10.54,11.36,-,Yes,,,,-,-,Not applicable,Teaching,Not applicable,-,"October 14, 2025"
Vermilion Health Centre (Alta.),Alberta,Central Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,8.39,13.92,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Whitehorse General Hospital (Y.T.),Yukon,Yukon (Y.T.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,9.59,12.35,-,Yes,,,,-,-,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
Whitehorse General Hospital (Y.T.),Yukon,Yukon (Y.T.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,9.66,12.34,-,Yes,,,,-,-,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
Wrinch Memorial Hospital (B.C.),British Columbia,Northern Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,8.09,14.36,-,No,Same as average performance,No change,Not a top result,-,43.3,Rural/remote,Community—Small,Small,-,"October 14, 2025"
Nova Scotia,Nova Scotia,-,-,Province/territory,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.2,per 100,8.00,8.45,-,Yes,,,,-,-,Not applicable,-,Not applicable,-,"October 14, 2025"
Quebec,Quebec,-,-,Province/territory,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.2,per 100,8.10,8.25,-,Yes,,,,-,-,Not applicable,-,Not applicable,-,"October 14, 2025"
Bethesda Regional Health Centre (Man.),Manitoba,Southern Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.2,per 100,6.75,9.76,-,No,,,,-,-,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
Brant Community Healthcare System (Ont.),Ontario,West Region (Ont.),Brant Community Healthcare System (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.2,per 100,7.61,8.77,-,No,,,,-,-,Not applicable,Community—Large,Not applicable,-,"October 14, 2025"
Campbellford Memorial Hospital (Ont.),Ontario,East Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.2,per 100,6.69,9.85,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Campbellton Regional Hospital (N.B.),New Brunswick,Vitalité Health Network (N.B.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.2,per 100,7.05,9.43,-,No,,,,-,-,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
Central Newfoundland Regional Health Centre (N.L.),Newfoundland and Labrador,Central Zone (N.L.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.2,per 100,7.02,9.46,-,No,,,,-,-,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
Central Zone (N.L.),Newfoundland and Labrador,Central Zone (N.L.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.2,per 100,7.39,9.06,-,Yes,,,,-,-,Not applicable,-,Not applicable,-,"October 14, 2025"
CISSS de Lanaudière (Que.),Quebec,Lanaudière Region (Que.),CISSS de Lanaudière (Que.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.2,per 100,7.79,8.54,-,Yes,,,,-,-,Not applicable,Community—Large,Not applicable,"Data previously attributed to Centre de réadapt. en déficience physique Le Bouclier (Que.), Centre de réadaptation La Myriade (Que.), CSSS du Nord de Lanaudière (Que.), CSSS du Sud de Lanaudière (Que.) and Les centres jeunesse de Lanaudière (Que.) will now be attributed to CISSS de Lanaudière (Que.) as of April 01, 2015. Please interpret trends with caution.","October 14, 2025"
CIUSSS de l’Est-de-l’Île-de-Montréal (Que.),Quebec,Montréal Region (Que.),CIUSSS de l’Est-de-l’Île-de-Montréal (Que.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.2,per 100,7.84,8.60,-,Yes,,,,-,-,Not applicable,Teaching,Not applicable,"Data previously attributed to CSSS de la Pointe-de-l’Île (Que.), CSSS de Saint-Léonard et Saint-Michel (Que.), CSSS Lucille-Teasdale (Que.), Hôpital Maisonneuve-Rosemont (Que.), Hôpital Santa Cabrini (Que.), Institut Canadien-Polonais du Bien-Être inc. (Que.) and Institut universitaire en santé mentale de Montréal (Que.) will now be attributed to CIUSSS de l’Est-de-l’Île-de-Montréal (Que.) as of April 01, 2015. Please interpret trends with caution.","October 14, 2025"
CIUSSS de l’Est-de-l’Île-de-Montréal (Que.),Quebec,Montréal Region (Que.),CIUSSS de l’Est-de-l’Île-de-Montréal (Que.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.2,per 100,7.82,8.55,-,Yes,,,,-,-,Not applicable,Teaching,Not applicable,"Data previously attributed to CSSS de la Pointe-de-l’Île (Que.), CSSS de Saint-Léonard et Saint-Michel (Que.), CSSS Lucille-Teasdale (Que.), Hôpital Maisonneuve-Rosemont (Que.), Hôpital Santa Cabrini (Que.), Institut Canadien-Polonais du Bien-Être inc. (Que.) and Institut universitaire en santé mentale de Montréal (Que.) will now be attributed to CIUSSS de l’Est-de-l’Île-de-Montréal (Que.) as of April 01, 2015. Please interpret trends with caution.","October 14, 2025"
CIUSSS du Centre-Ouest-de-l'Île-de-Montréal (Que.),Quebec,Montréal Region (Que.),CIUSSS du Centre-Ouest-de-l'Île-de-Montréal (Que.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.2,per 100,7.74,8.65,-,Yes,,,,-,-,Not applicable,Teaching,Not applicable,"Data previously attributed to Centre de réadaptation Constance-Lethbridge (Que.), Centre Miriam (Que.), CHSLD juif de Montréal (Que.), CSSS Cavendish (Que.), CSSS de la Montagne (Que.) and La corporation du centre hosp. gériatrique Maimonides (Que.) will now be attributed to CIUSSS du Centre-Ouest-de-l'Île-de-Montréal (Que.) as of April 01, 2015. Please interpret trends with caution.","October 14, 2025"
Covenant Health Mineral Springs Hospital (Alta.),Alberta,Calgary Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.2,per 100,4.93,12.78,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Covenant Health St. Joseph’s General Hospital (Alta.),Alberta,Central Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.2,per 100,5.15,12.45,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Cumberland Regional Health Care Centre (N.S.),Nova Scotia,Northern Zone (N.S.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.2,per 100,6.90,9.66,-,No,,,,-,-,Rural/remote,Community—Medium,Not applicable,-,"October 14, 2025"
Cumberland Regional Health Care Centre (N.S.),Nova Scotia,Northern Zone (N.S.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.2,per 100,7.06,9.48,-,No,Same as average performance,No change,Not a top result,-,210.5,Rural/remote,Community—Medium,Not applicable,-,"October 14, 2025"
Digby General Hospital (N.S.),Nova Scotia,Western Zone (N.S.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.2,per 100,5.64,11.39,-,No,Same as average performance,No change,Not a top result,-,39.4,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
