Place or organization,Province/territory,Region,Corporation,Reporting level,Indicator,Time scale,Time frame,Level 1 breakdown,Level 1 breakdown value,Level 2 breakdown,Level 2 breakdown value,Level 3 breakdown,Level 3 breakdown value,Risk-Adjusted Rate,Unit of measure,Confidence interval lower limit,Confidence interval upper limit,Numerator,Statistically different,Performance comparison,Performance trend,Top results,Denominator,Crude rate,Rate Ratio (Income),Potential Rate Reduction (Income),Expected,Urban or rural/remote,Hospital peer group,Long-Term Care Facility Size,Trend note,Refresh date
Yukon,Yukon,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Yukon,Yukon,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Yukon,Yukon,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Yukon,Yukon,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2022–2023,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Yukon,Yukon,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Yukon,Yukon,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Yukon,Yukon,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Yukon,Yukon,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Yukon,Yukon,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Yukon,Yukon,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Yukon,Yukon,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Yukon,Yukon,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Yukon,Yukon,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Yukon,Yukon,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Yukon,Yukon,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2022–2023,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Yukon,Yukon,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Yukon,Yukon,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2022–2023,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2022–2023,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Nunavut,Nunavut,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Nunavut,Nunavut,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Nunavut,Nunavut,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Nunavut,Nunavut,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Suppressed,per 100,Suppressed,Suppressed,-,Suppressed,Suppressed,Suppressed,Suppressed,-,-,-,-,-,-,-,-,-,"October 20, 2025"
